"","date","fed","stock","market","trump","bank","rate","big","cramer","share","new","year","ceo","job","investor","high","apple","hike","tax","earning","rise","report","facebook","china","growth","analyst","trade","street","economy","good","buy","wall","plan","time","amazon","fall","company","hit","bitcoin","dollar","low","tech","yellen","expect","rally","price","iphone","central","early","start","cut","billion","datum","deal","economic","update","need","google","week","bond","ed","policy","oil","business","inflation","mover","sale","op","look","beat","raise","million","like","strategist","trader","sell","goldman","want","twitter","hour","global","fund","ahead","surge","jump","change","gold","chair","come","watch","drop","gain","ecb","day","yield","Date","Open","High","Low","Close","Adj.Close","Volume","Date_prev","pre_close","Rise"
"207","12-Sep-17",4,14,13,10,15,7,11,4,6,22,5,12,6,12,3,39,1,9,0,3,4,0,5,3,0,5,3,2,4,3,3,2,8,3,4,2,0,8,2,5,4,4,4,5,3,42,1,3,3,7,5,5,3,0,5,8,0,0,2,38,0,2,0,2,2,0,22,7,0,0,0,3,1,0,0,1,11,0,2,1,7,1,0,3,2,1,4,4,9,0,5,0,14,3,"2017-09-13",22103.470703,22158.179688,22095.789063,22158.179688,22158.179688,291890000,"12-Sep-17",22118.859375,"True"
"208","13-Apr-16",3,6,6,2,3,2,5,2,0,2,3,2,0,0,2,4,0,0,2,1,2,0,3,0,2,5,1,0,0,4,1,3,1,0,5,0,0,0,0,3,0,2,1,0,2,2,0,3,1,0,0,2,0,0,0,0,0,1,0,10,0,4,0,0,1,10,4,2,1,0,0,0,0,2,0,2,0,0,1,0,5,0,0,3,0,2,0,1,0,1,1,0,3,0,"2016-04-14",17912.25,17962.140625,17885.439453,17926.429688,17926.429688,84510000,"13-Apr-16",17908.279297,"True"
"209","13-Aug-17",3,0,8,0,7,0,0,0,0,0,0,1,2,0,0,0,0,0,3,1,3,0,0,0,3,2,0,0,0,0,0,0,3,0,3,0,4,0,0,1,0,0,4,0,0,0,4,0,0,0,0,0,0,3,1,0,0,3,0,6,0,0,0,3,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,"2017-08-14",21945.640625,22019.230469,21945.640625,21993.710938,21993.710938,235030000,"13-Aug-17",21858.320313,"True"
"210","13-Dec-16",20,12,13,19,7,2,1,6,5,2,7,0,3,4,2,2,2,0,0,5,0,0,4,0,0,5,0,1,3,0,0,0,0,0,2,0,0,0,2,4,1,0,0,4,6,0,0,1,0,0,4,2,2,0,0,0,0,0,8,29,4,2,0,0,1,1,21,2,0,1,0,0,0,2,0,0,0,3,1,0,3,2,0,0,0,2,0,0,0,6,0,0,1,6,"2016-12-14",19876.130859,19966.429688,19748.669922,19792.529297,19792.529297,408430000,"13-Dec-16",19911.210938,"False"
"211","13-Dec-17",101,25,43,6,10,73,19,11,5,27,4,9,0,4,20,12,38,20,0,11,0,6,15,21,6,2,1,14,3,7,3,13,9,5,2,3,1,26,5,21,9,38,10,6,4,4,4,4,13,4,2,2,1,10,15,3,5,4,7,135,6,2,2,13,0,0,17,31,0,24,7,4,10,1,1,0,1,0,2,7,2,4,1,6,17,2,15,0,7,0,5,0,7,6,"2017-12-14",24631.009766,24672.480469,24508.660156,24508.660156,24508.660156,314780000,"13-Dec-17",24585.429688,"False"
"212","13-Feb-17",12,16,10,30,4,8,4,5,9,2,7,1,0,1,6,5,0,7,1,3,0,0,0,1,4,6,0,0,0,3,0,2,5,0,2,2,3,0,2,4,2,9,2,2,2,0,0,1,0,2,1,0,0,2,0,0,0,3,1,22,0,0,0,0,1,1,14,7,1,0,0,1,8,2,0,1,2,0,1,0,0,0,2,2,4,4,0,0,0,0,1,0,0,0,"2017-02-14",20374.220703,20504.410156,20374.019531,20504.410156,20504.410156,356580000,"13-Feb-17",20412.160156,"True"
"213","13-Jan-16",0,4,7,0,3,1,3,4,2,0,1,0,4,3,1,0,0,0,3,0,0,0,1,1,0,2,0,0,1,0,3,0,0,0,3,0,0,0,0,5,0,0,0,0,2,0,0,2,3,0,0,0,0,1,0,2,0,0,2,5,0,10,0,0,2,0,2,1,0,0,0,0,0,0,2,2,0,0,2,0,1,0,0,0,0,2,0,0,0,0,3,0,1,0,"2016-01-14",16159.009766,16482.050781,16075.120117,16379.049805,16379.049805,158830000,"13-Jan-16",16151.410156,"True"
"214","13-Jul-16",6,13,3,0,2,6,2,4,3,2,5,0,2,2,0,1,0,0,3,3,0,0,0,0,0,3,2,0,1,2,2,2,0,1,0,0,0,0,0,3,3,0,0,3,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,13,0,0,0,0,2,0,4,0,0,3,0,0,1,2,0,4,0,0,1,0,0,1,6,2,0,5,0,2,0,4,1,0,1,0,"2016-07-14",18414.300781,18537.570313,18414.300781,18506.410156,18506.410156,87050000,"13-Jul-16",18372.119141,"True"
"215","13-Jul-17",37,11,4,27,13,30,3,6,5,9,18,2,8,7,7,2,14,5,1,1,2,2,1,11,0,3,8,13,1,2,8,12,5,5,4,5,3,2,2,18,3,36,6,7,0,0,5,2,1,5,0,5,2,8,0,7,0,0,2,70,9,4,2,10,2,2,21,2,0,0,2,2,4,1,2,2,1,0,1,3,0,3,1,2,0,4,16,1,6,3,0,2,15,0,"2017-07-14",21532.769531,21681.529297,21521.720703,21637.740234,21637.740234,235590000,"13-Jul-17",21553.089844,"True"
"216","13-Jun-16",2,13,2,1,2,5,6,5,5,0,1,2,2,2,0,3,3,0,0,8,0,2,0,0,0,5,0,0,2,5,0,0,4,1,0,0,0,0,0,3,1,0,0,3,1,0,0,1,0,0,4,0,7,0,0,2,1,0,0,18,0,0,0,0,1,2,11,2,0,1,1,0,1,4,0,5,2,0,2,0,1,0,0,0,0,5,0,0,0,0,0,0,0,1,"2016-06-14",17710.769531,17733.919922,17595.789063,17674.820313,17674.820313,93740000,"13-Jun-16",17732.480469,"False"
