"","date","PRON","fed","stock","market","trump","bank","rate","big","cramer","share","new","year","ceo","job","investor","high","apple","hike","tax","earning","rise","report","facebook","china","growth","analyst","trade","street","economy","good","buy","wall","plan","time","amazon","fall","company","hit","bitcoin","dollar","low","tech","yellen","expect","rally","price","iphone","central","early","start","cut","billion","datum","deal","economic","update","need","google","week","bond","ed","policy","oil","business","inflation","mover","sale","op","look","beat","raise","million","like","strategist","trader","sell","goldman","want","twitter","hour","global","fund","ahead","surge","jump","change","gold","chair","come","watch","drop","gain","ecb","day","yield"
"311"," 8 Nov 2017",62,11,38,13,30,15,1,14,20,4,2,5,10,0,4,6,9,1,2,11,0,4,2,8,1,11,4,5,0,2,2,9,6,7,4,1,11,6,5,3,1,17,0,1,5,2,0,1,2,7,0,0,7,7,3,4,4,2,1,0,27,0,0,1,1,0,3,18,1,0,1,3,1,0,0,6,4,0,2,2,3,0,3,2,1,1,5,10,2,4,0,5,0,2,3
"312"," 8 Oct 2014",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"313"," 8 Oct 2015",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"314"," 8 Oct 2016",0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"315"," 8 Oct 2017",9,0,1,1,0,4,0,2,0,0,0,0,0,2,1,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
"316"," 8 Sept 2014",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"317"," 8 Sept 2015",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"318"," 8 Sept 2016",7,8,9,7,0,6,14,2,2,4,3,4,2,4,2,1,6,2,0,0,6,0,0,2,2,0,2,1,0,2,0,1,0,0,2,4,0,2,0,0,4,0,0,0,0,3,3,2,1,0,2,1,2,0,2,0,0,0,0,0,13,0,6,0,0,1,2,8,0,0,2,0,2,2,2,0,0,0,0,1,0,3,1,1,2,3,0,0,0,2,1,2,0,5,0
"319"," 8 Sept 2017",34,5,1,5,6,15,4,0,5,9,13,8,2,5,12,8,3,0,5,0,2,10,6,1,0,2,0,3,5,5,1,3,2,0,0,5,2,6,2,11,12,2,0,0,0,3,0,8,3,0,4,4,12,4,2,3,2,0,2,2,23,2,0,1,0,1,2,20,2,1,5,13,2,0,0,5,1,0,0,0,3,4,0,0,0,1,1,0,0,1,1,1,11,8,5
"320"," 9 April 2014",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"321"," 9 April 2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"322"," 9 April 2017",5,0,0,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"323"," 9 Aug 2016",10,0,4,3,6,2,6,2,0,6,0,1,2,0,0,4,0,0,0,4,0,1,1,0,0,0,2,1,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,5,1,0,0,0,2,0,0,1,0,1,2,0,1,0,0,1,7,0,0,0,0,2,1,8,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,1,0,1,1,4,1,0,2,1
"324"," 9 Aug 2017",23,3,9,11,9,9,1,1,1,1,5,2,3,0,5,5,4,0,0,4,1,1,2,4,1,1,7,2,0,1,3,2,1,2,14,5,6,5,5,0,4,1,0,2,1,1,0,0,3,4,0,2,0,3,0,0,1,0,0,3,18,0,0,0,1,2,0,14,0,1,0,0,0,1,5,3,0,0,1,1,5,1,0,1,4,7,1,0,4,0,5,0,0,6,3
